theta_v,R_E,R_F,alpha_E,alpha_N
0.0,1.0,1.0,0.9789212941206047,1.9704643324786617
0.01,0.9992053722759704,0.9917995986194266,0.9661235485703028,1.950840213202602
0.011361021557008247,0.9986719937650054,0.9889310034547195,0.9623508676866205,1.9455002123203893
0.012907281081880611,0.9977903861986407,0.9848634806811546,0.9574549652385105,1.9388343090157356
0.014663989861361046,0.9963299823427179,0.9790048435284688,0.9511008891544427,1.9305901435300719
0.016659790492667324,0.9938955934117284,0.9704130331202625,0.9341633337113531,1.9098502037111653
0.018927223892243453,0.9898638788385965,0.957674372073413,0.9225728061411652,1.89742162117655
0.021503259865409942,0.9832391668594186,0.9386504488586093,0.9078839488866642,1.8830513613879585
0.024429899887687276,0.9724105881357706,0.9100953715200383,0.8895987652898575,1.8670281063165315
0.02775486192595685,0.9549259507196505,0.8674461113734324,0.8676706597471399,1.8503361850560507
0.03153235846525833,0.9272687748034741,0.8049560661606949,0.8277672149728291,1.8207322002490833
0.03582398042671114,0.8848621309827539,0.7168385447425176,0.7741827905764777,1.7828767844182203
0.040699701388570673,0.8228950533392028,0.6006241186034532,0.7072105793748313,1.7329884851419395
0.046239018483934996,0.7384801783309372,0.4623914684050864,0.6658934171435399,1.7094785510583164
0.05253224857708886,0.633880397852088,0.3199609412881037,0.6048846555342204,1.6522097846941939
0.05968200085224224,0.518348698617338,0.19690348756721437,0.5699286254949659,1.624895438772149
0.0678048498247709,0.40546774530514385,0.10873023437486994,0.5308272577921678,1.5628019509055564
0.07703323605289293,0.30686677442522625,0.055338432272208735,0.5041004618921927,1.5213154155951831
0.08751762554030215,0.2278946186272477,0.02685081691887664,0.49053350657091677,1.4421670185532844
0.09942896303815484,0.16814860214193592,0.012795665046509938,0.4790506318309187,1.3886999247697744
0.11296145924674535,0.1243339070607099,0.006115029723037298,0.46399916155936094,1.3456280268286898
0.12833575736133826,0.09259948928046373,0.002966777483348208,0.44676474638269514,1.3126650221710865
0.14580253059171447,0.0696327884554238,0.0014701608468792545,0.42808560835963144,1.302848746644164
0.16564656931188226,0.05291285922763447,0.000745850631418993,0.40801402466210035,1.3023610021900032
0.18819142447967552,0.04062991829743281,0.00038747282058737933,0.39146460153892504,1.3724504977742462
0.21380468303576833,0.031511387843969944,0.0002059831863227356,0.34193876170971893,1.4197933443784807
0.24290396129586797,0.024669406172841194,0.00011194114854414807,0.35289714667753774,1.479413348347706
0.2759637140565055,0.0218819151968043,5.848177085995465e-05,0.33496168360358203,1.4481385442468322
0.3135229704348019,0.021380519495911358,3.1464662172993916e-05,0.365988904375858,1.431328772489508
0.3561941225727044,0.01890956502063822,1.8844430768254195e-05,0.39869649074133584,1.4685106216433934
0.4046729105028133,0.016409827530866783,1.1922798385562752e-05,0.4228782017227404,1.533334282464182
0.45974976597597333,0.014211926733775034,7.889738653838263e-06,0.40596333235133447,1.4769610106492543
0.522322700208253,0.01234036091401436,5.4385415608291e-06,0.4469326747033149,1.7139118970842677
0.593411945678072,0.010759403457640714,3.891561295033628e-06,0.4392696944736382,1.7181495842318182
