NAME,OBSID,RA,DEC,START_TIME,PROCESSING_DATE,XRT_EXPOSURE,UVOT_EXPOSURE,BAT_EXPOSURE,ARCHIVE_DATE,AF_INSAA,AF_INSLEW,AF_ONSOURCE,AF_TOTAL,ATT_FLAG,BAT_EXPO_EV,BAT_EXPO_MT,BAT_EXPO_PL,BAT_EXPO_RT,BAT_EXPO_SV,BAT_NO_MASKTAG,BII,CYCLE,GRB_FLAG,LII,NUM_PROCESSED,OBS_SEGMENT,ORIG_OBS_SEGMENT,ORIG_OBSID,ORIG_TARGET_ID,PI,PRNB,PROCESSING_VERSION,ROLL_ANGLE,SAA_FRACTION,SOFTWARE_VERSION,STOP_TIME,TARGET_ID,TDRSS_FLAG,UVOT_EXPO_BB,UVOT_EXPO_BL,UVOT_EXPO_GU,UVOT_EXPO_GV,UVOT_EXPO_M2,UVOT_EXPO_MG,UVOT_EXPO_UU,UVOT_EXPO_VV,UVOT_EXPO_W1,UVOT_EXPO_W2,UVOT_EXPO_WH,XRT_EXPO_IM,XRT_EXPO_LR,XRT_EXPO_PC,XRT_EXPO_PU,XRT_EXPO_WT,TRIG_TIME_MJD,mjd_utc
GRB061007                                                                       ,00232683008,46.34685,-50.50819,54022.0631944444,           57176,16134.881,16293.594,16312.0,54033,351.49042,2643.59978,16469.98768,19113.58746,112 ,0.0,57400.0,0.0,19187.2,16312.0,4,-55.48129,0,Y,264.67265,19,8,8,00232683008,232683,Swift                       ,1,3.16.08                                                                         ,156.72549,0.00438,Hea_21Dec2012_V6.13_Swift_Rel4.0(Bld29)_14Dec2012_SDCpatch_15                   ,   54022.9615625,232683,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16293.594,0.0,0.0,0.0,0.0,15997.722,0.0,137.159,54022.0631944444,54022.0631944444
GRB060923a                                                                      ,00230662003,254.66042,12.36403,54004.0194560185,           57121,16133.819,16140.81,15479.0,54015,0.0,1229.36839,16190.01001,17419.3784,112 ,0.0,49608.0,0.0,16547.2,15479.0,4,30.55958,0,Y,31.60734,18,3,3,00230662003,230662,Swift                       ,1,3.16.08                                                                         ,258.41672,0.0,Hea_21Dec2012_V6.13_Swift_Rel4.0(Bld29)_14Dec2012_SDCpatch_15                   ,54004.9928935185,230662,N,0.0,0.0,0.0,0.0,16140.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14857.228,0.0,1276.591,54004.0194560185,54004.0194560185
GRB050502b                                                                      ,00116116001,142.56293,16.98111,53494.0147916667,           56961,16128.979,12691.09,16195.0,53505,0.0,2164.26771,16197.99113,18362.25884,112 ,0.0,18248.0,0.0,18395.2,16195.0,1,42.60361,0,Y,214.38478,29,1,1,00116116001,116116,Swift                       ,1,3.16.06                                                                         ,291.57925,0.0,Hea_21Dec2012_V6.13_Swift_Rel4.0(Bld29)_14Dec2012_SDCpatch_13                   ,53494.9541550926,116116,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12691.09,0.0,0.0,0.0,0.0,20.17,16046.089,0.0,62.72,53494.0147916667,53494.0147916667
GRB060206                                                                       ,00180455010,202.93574,35.05887,53783.0548726852,           57063,16119.618,16017.993,1454.0,53794,294.7993,1220.58717,16394.97011,17615.55728,112 ,0.0,19376.0,0.0,17673.6,1454.0,6,78.29332,0,Y,78.03501,29,10,10,00180455010,180455,Swift                       ,1,3.16.07                                                                         ,65.70566,0.01371,Hea_21Dec2012_V6.13_Swift_Rel4.0(Bld29)_14Dec2012_SDCpatch_13                   ,53783.9430092593,180455,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16017.993,0.0,0.0,0.0,0.0,0.0,15807.992,0.0,311.626,53783.0548726852,53783.0548726852
GRB061122                                                                       ,00020044002,303.79581,15.49561,54062.0645949074,           57177,16116.122,14055.411,16626.0,54073,0.0,5404.39945,16190.03051,21594.42996,112 ,0.0,64720.0,0.0,21691.2,16626.0,3,-10.63998,0,Y,56.61603,29,2,2,00020044002,20044,Swift                       ,1,3.16.09                                                                         ,235.13189,0.0,Hea_21Dec2012_V6.13_Swift_Rel4.0(Bld29)_14Dec2012_SDCpatch_15                   ,54063.9508101852,20044,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7544.984,6510.427,0.0,0.0,0.0,0.0,15969.276,0.0,146.846,54062.0645949074,54062.0645949074
GRB060206                                                                       ,00180455025,202.91766,35.05395,53801.9993171296,           57063,16108.731,0.0,16495.0,53812,0.0,621.57913,16319.99321,16941.57234,110 ,0.0,33872.0,0.0,16974.4,16495.0,2,78.30783,0,Y,78.06322,18,25,25,00180455025,180455,Swift                       ,1,3.16.07                                                                         ,43.4097,0.0,Hea_21Dec2012_V6.13_Swift_Rel4.0(Bld29)_14Dec2012_SDCpatch_13                   ,53802.9583101852,180455,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16074.349,0.0,34.382,53801.9993171296,53801.9993171296
GRB090531a                                                                      ,00353627001,178.64871,7.81096,54992.0347222222,           57436,16087.484,15975.327,16026.0,55003,1962.43426,2405.99848,16209.98976,18615.98824,112 ,0.0,53136.0,0.0,18217.6,16026.0,4,66.45112,0,Y,265.43325,15,1,1,00353627001,353627,Swift                       ,1,3.17.02                                                                         ,300.32411,0.07113,Hea_27Jul2015_V6.17_Swift_Rel4.5(Bld34)_27Jul2015_SDCpatch_1                    ,54993.0084027778,353627,N,0.0,0.0,0.0,0.0,0.0,0.0,15975.327,0.0,0.0,0.0,0.0,0.0,0.0,16087.484,0.0,0.0,54992.0347222222,54992.0347222222
GRB060218                                                                       ,00191157015,50.41821,16.86698,53795.0118055556,           57063,16087.472,15948.959,14637.0,53806,0.0,219.20275,16114.99379,16334.19654,112 ,0.0,49080.0,0.0,16369.6,14637.0,3,-32.87885,0,Y,166.92839,13,15,15,00191157015,191157,Swift                       ,1,3.16.07                                                                         ,248.62652,0.0,Hea_21Dec2012_V6.13_Swift_Rel4.0(Bld29)_14Dec2012_SDCpatch_13                   ,53795.6768287037,191157,N,0.0,0.0,0.0,0.0,5380.447,0.0,0.0,0.0,5188.529,5379.983,0.0,0.0,0.0,16068.964,0.0,18.508,53795.0118055556,53795.0118055556
GRB060719                                                                       ,00220020003,18.41511,-48.39729,53937.1506944444,           57122,16087.239,3785.369,16765.0,53948,0.0,1017.20207,16599.98877,17617.19084,112 ,0.0,17664.0,0.0,17652.8,16765.0,1,-68.29676,0,Y,292.92176,18,3,3,00220020003,220020,Swift                       ,1,3.16.08                                                                         ,93.79749,0.0,Hea_21Dec2012_V6.13_Swift_Rel4.0(Bld29)_14Dec2012_SDCpatch_15                   ,53937.9742939815,220020,N,0.0,0.0,0.0,0.0,1160.309,0.0,386.35,0.0,773.319,1465.391,0.0,0.0,0.0,15651.429,0.0,435.81,53937.1506944444,53937.1506944444
GRB050824                                                                       ,00151905011,12.26135,22.58484,53628.9993171296,           57035,16077.921,15690.538,16429.0,53639,0.0,3068.20126,16184.9899,19253.19116,112 ,0.0,32920.0,18816.0,19307.2,16429.0,5,-40.28355,0,Y,122.20797,29,11,11,00151905011,151905,Swift                       ,1,3.16.07                                                                         ,54.75022,0.0,Hea_21Dec2012_V6.13_Swift_Rel4.0(Bld29)_14Dec2012_SDCpatch_13                   ,53630.0006597222,151905,N,903.332,0.0,0.0,0.0,4022.637,0.0,1343.7,1342.1,2675.484,5403.285,0.0,0.0,0.0,16043.113,0.0,34.808,53628.9993171296,53628.9993171296
GRB070129                                                                       ,00258408011,36.95779,11.71122, 54139.007650463,           57195,16072.558,17358.225,17636.0,54150,0.0,0.0,0.0,0.0,112 ,0.0,40160.0,0.0,20073.6,17636.0,5,-44.66456,0,Y,157.13493,3,11,8,00258409008,258409,Swift                       ,1,3.16.09                                                                         ,244.1757,0.0,Hea_21Dec2012_V6.13_Swift_Rel4.0(Bld29)_14Dec2012_SDCpatch_15                   ,54139.9156481481,258408,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17358.225,0.0,0.0,0.0,0.0,10812.246,0.0,5260.312,54139.007650463,54139.007650463
GRB120308a                                                                      ,00517234001,219.11909,79.6745,55994.4581597222,           57946,16072.069,16187.482,16410.0,56005,0.0,1191.39471,16385.00061,17576.39532,112 ,0.0,52112.0,0.0,17600.0,16410.0,3,36.27476,0,Y,117.28674,15,1,1,00517234001,517234,Swift                       ,1,3.17.13                                                                         ,41.41378,0.0,Hea_27Jul2015_V6.17_Swift_Rel4.5(Bld34)_27Jul2015_SDCpatch_10                   ,55994.8929282407,517234,Y,3597.196,0.0,0.0,0.0,2699.326,0.0,3597.218,2697.947,1540.494,2055.301,0.0,0.0,0.0,16044.152,0.0,27.917,55994.4581597222,55994.4581597222
GRB060510b                                                                      ,00209352006,239.11195,78.54836,53873.0291782407,           57084,16070.021,15800.006,16323.0,53884,0.0,2910.42154,16149.97212,19060.39366,112 ,0.0,57072.0,0.0,19097.6,16323.0,3,34.68682,0,Y,112.88677,23,6,6,00209352006,209352,Swift                       ,1,3.16.07                                                                         ,10.78475,0.0,Hea_21Dec2012_V6.13_Swift_Rel4.0(Bld29)_14Dec2012_SDCpatch_13                   ,53873.9819444444,209352,N,0.0,0.0,0.0,0.0,4865.475,0.0,1619.71,0.0,3242.565,6072.256,0.0,0.0,0.0,16022.286,0.0,47.735,53873.0291782407,53873.0291782407
