gbm_TRIGGER_TIME,gbm_RA,gbm_DEC,gbm_T90,gbm_FLUX_BATSE_64,gbm_FLUENCE_BATSE,gbm_PFLX_COMP_EPEAK,gbm_mjd_utc,swift_NAME,swift_OBSID,swift_RA,swift_DEC,swift_START_TIME,swift_PROCESSING_DATE,swift_XRT_EXPOSURE,swift_UVOT_EXPOSURE,swift_BAT_EXPOSURE,swift_ARCHIVE_DATE,swift_AF_INSAA,swift_AF_INSLEW,swift_AF_ONSOURCE,swift_AF_TOTAL,swift_ATT_FLAG,swift_BAT_EXPO_EV,swift_BAT_EXPO_MT,swift_BAT_EXPO_PL,swift_BAT_EXPO_RT,swift_BAT_EXPO_SV,swift_BAT_NO_MASKTAG,swift_BII,swift_CYCLE,swift_GRB_FLAG,swift_LII,swift_NUM_PROCESSED,swift_OBS_SEGMENT,swift_ORIG_OBS_SEGMENT,swift_ORIG_OBSID,swift_ORIG_TARGET_ID,swift_PI,swift_PRNB,swift_PROCESSING_VERSION,swift_ROLL_ANGLE,swift_SAA_FRACTION,swift_SOFTWARE_VERSION,swift_STOP_TIME,swift_TARGET_ID,swift_TDRSS_FLAG,swift_UVOT_EXPO_BB,swift_UVOT_EXPO_BL,swift_UVOT_EXPO_GU,swift_UVOT_EXPO_GV,swift_UVOT_EXPO_M2,swift_UVOT_EXPO_MG,swift_UVOT_EXPO_UU,swift_UVOT_EXPO_VV,swift_UVOT_EXPO_W1,swift_UVOT_EXPO_W2,swift_UVOT_EXPO_WH,swift_XRT_EXPO_IM,swift_XRT_EXPO_LR,swift_XRT_EXPO_PC,swift_XRT_EXPO_PU,swift_XRT_EXPO_WT,swift_TRIG_TIME_MJD,swift_mjd_utc,time_diff_sec
55774.334526453,248.27,-57.06,0.384,6.1003,2.167e-07,223632.8,55774.334132934484,GRB110731a                                                                      ,00458448002,280.46571,-28.56018,55774.5868055556,           57923,4714.894,4686.596,4787.0,55785,115.34532,624.78286,4729.99764,5354.7805,112 ,0.0,15600.0,5456.0,5368.0,4787.0,3,-10.68146,0,Y,6.18747,7,2,2,00458448002,458448,Swift                       ,1,3.17.13                                                                         ,236.44304,0.0,Hea_27Jul2015_V6.17_Swift_Rel4.5(Bld34)_27Jul2015_SDCpatch_10                   ,55774.7528587963,458448,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4686.596,0.0,0.0,4700.581,0.0,14.313,55774.5868055556,55774.5868055556,0.25267262111447053
59044.344049929,190.43,-53.95,0.96,7.8651,5.4066e-07,326.1012,59044.34362168826,GRB200713a                                                                      ,00982201004,76.97798,-32.79714,59044.2719444444,           59054,4932.399,4761.377,4964.0,59055,8.60102,1269.80309,4974.99163,6244.79472,112 ,0.0,5928.0,0.0,6281.6,4964.0,1,-34.99837,0,Y,235.52892,13,4,4,00982201004,982201,Swift                       ,1,3.18.12                                                                         ,38.09147,0.0,Hea_27Jul2015_V6.17_Swift_Rel4.5(Bld34)_27Jul2015_SDCpatch_17                   ,   59044.9359375,982201,N,959.974,0.0,0.0,0.0,853.606,0.0,570.799,410.612,791.965,1163.907,10.514,0.0,0.0,4888.104,0.0,44.295,59044.2719444444,59044.2719444444,0.07167724386090413
54898.733619204,21.9,-54.3,1.664,6.2012,1.0124e-06,1409.992,54898.733225685486,GRB090308                                                                       ,00345777000,183.52538,-48.84168,54898.7398958333,           57384,36812.236,35999.071,43008.706,54909,9198.70694,2951.8203,44214.96844,47166.78874,112 ,2642.706,138520.0,0.0,47820.8,40366.0,5,13.5725,0,Y,296.62747,38,0,0,00345777000,345777,Swift                       ,1,3.17.01                                                                         ,162.50673,0.18351,Hea_27Jul2015_V6.17_Swift_Rel4.5(Bld34)_27Jul2015_SDCpatch_0                    ,54899.9529166667,345777,Y,2306.543,0.0,0.0,0.0,7331.719,0.0,6119.377,5624.949,8447.931,4899.92,1268.632,5.078,0.0,36536.175,0.0,270.983,54898.7398958333,54898.7398958333,0.006670147813565563
56427.056456895,283.422,-54.281,0.256,8.1272,2.9237e-07,511.4674,56427.05605180241,GRB 130515A                                                                     ,00555880000,283.30902,-54.3279, 56427.045462963,           58067,3112.642,3076.473,6210.018,56438,3465.3985,255.39988,3209.99862,3465.3985,112 ,1202.018,10872.0,0.0,4742.4,5008.0,3,-21.99331,0,Y,341.90048,6,0,0,00555880000,555880,Swift                       ,1,3.17.15                                                                         ,111.52554,1.0,Hea_27Jul2015_V6.17_Swift_Rel4.5(Bld34)_27Jul2015_SDCpatch_14                   ,56427.1336342593,555880,Y,439.088,0.0,49.769,0.0,239.293,0.0,669.08,249.024,419.306,422.075,588.838,5.078,0.0,3101.504,0.0,6.06,56427.045462963,56427.045462963,0.010588839410047513
56813.376975125,121.79,-53.86,0.512,5.0843,2.5662e-07,711.8329,56813.37657003241,GRB140506a                                                                      ,00598284023,276.78294,-55.61738,56814.2534490741,           58168,1076.339,3191.062,3237.0,56825,0.0,932.74999,3219.99575,4152.74574,112 ,0.0,12528.0,0.0,4169.6,3237.0,4,-18.85133,0,Y,339.32859,12,23,23,00598284023,598284,Swift                       ,1,3.17.16                                                                         ,157.82823,0.0,Hea_27Jul2015_V6.17_Swift_Rel4.5(Bld34)_27Jul2015_SDCpatch_14                   ,56814.6995138889,598284,Y,0.0,0.0,0.0,0.0,3191.062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1076.339,0.0,0.0,56814.2534490741,56814.2534490741,0.8768790416943375
59023.75195548,343.079,-53.378,0.704,4.5093,2.4177e-07,655.7897,59023.75152723926,GRB200623a                                                                      ,00021005001,242.11709,53.47415,59023.5729861111,           59033,4984.415,4957.002,5002.0,59034,0.0,318.1996,4989.99772,5308.19732,112 ,0.0,10568.0,0.0,5318.4,5002.0,2,45.40946,0,Y,82.96563,9,1,1,00021005001,21005,Swift                       ,1,3.18.12                                                                         ,331.76867,0.0,Hea_27Jul2015_V6.17_Swift_Rel4.5(Bld34)_27Jul2015_SDCpatch_17                   ,59023.7328240741,21005,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4957.002,0.0,0.0,4984.415,0.0,0.0,59023.5729861111,59023.5729861111,0.1785411281598499
56258.913892567,176.438,-52.414,0.64,9.8637,5.5772e-07,1056.519,56258.913487474405,GRB121128a                                                                      ,00539866000,300.58658,54.32732,     56259.20125,           57933,2414.136,2181.363,6610.068,56270,0.0,56.1997,2420.00022,2476.19992,112 ,1202.068,8536.0,0.0,3398.4,5408.0,3,12.26285,0,Y,88.29082,6,0,0,00539866000,539866,Swift                       ,1,3.17.13                                                                         ,230.59935,0.0,Hea_27Jul2015_V6.17_Swift_Rel4.5(Bld34)_27Jul2015_SDCpatch_10                   ,56259.2418981481,539866,Y,197.655,0.0,49.769,0.0,217.371,0.0,427.658,226.616,197.909,217.47,646.915,2.589,0.0,2302.834,0.0,108.713,56259.20125,56259.20125,0.28776252559327986
58950.186834747,47.6624,-52.3181,1.44,7.24,2.4754e-07,494.3462,58950.18640650626,GRB200411A                                                                      ,00965784000,47.67077,-52.3102,58950.1743287037,           59025,1514.087,1471.791,4554.044,58961,0.0,37.79896,1519.99844,1557.7974,112 ,1202.044,0.0,0.0,2470.4,3352.0,0,-53.8604,0,Y,266.64605,9,0,0,00965784000,965784,Swift                       ,1,3.18.12                                                                         ,329.70546,0.0,Hea_27Jul2015_V6.17_Swift_Rel4.5(Bld34)_27Jul2015_SDCpatch_17                   ,58950.2573958333,965784,Y,98.844,0.0,49.769,0.0,98.91,0.0,348.607,110.175,98.833,118.593,548.06,5.078,0.0,1496.364,0.0,12.645,58950.1743287037,58950.1743287037,0.012077802559360862
57752.298215186,295.04,-51.17,0.448,4.1935,9.9557e-08,432.4385,57752.29779851933,GRB161219b                                                                      ,00727541012,91.71298,-26.77471, 57752.686087963,           57762,4829.034,4714.091,4855.0,57763,5144.98676,305.00856,4839.9782,5144.98676,112 ,0.0,10288.0,0.0,5156.8,4855.0,3,-21.03988,0,Y,233.12856,7,12,12,00727541012,727541,Swift                       ,1,3.17.10                                                                         ,198.62154,1.0,Hea_27Jul2015_V6.17_Swift_Rel4.5(Bld34)_27Jul2015_SDCpatch_3                    ,57752.9486342593,727541,N,661.104,0.0,0.0,0.0,747.668,0.0,661.115,661.026,661.059,661.015,661.104,0.0,0.0,4828.948,0.0,0.086,57752.686087963,57752.686087963,0.3882894436683273
57288.864162572,67.23,-50.01,1.792,9.2417,1.068e-06,136.9883,57288.86374590533,"Burst (227.534, -19.633)                                                        ",00656604000,227.51868,-19.58207,57290.1623032407,           57300,9017.063,8611.58,13511.688,57301,2486.1445,758.2214,9589.97608,10348.19748,112 ,1853.688,30856.0,0.0,11337.6,11658.0,3,32.47234,0,Y,342.35927,7,0,0,00656604000,656604,Swift                       ,1,3.17.01                                                                         ,287.24674,0.21876,Hea_27Jul2015_V6.17_Swift_Rel4.5(Bld34)_27Jul2015_SDCpatch_0                    ,57290.4881134259,656604,Y,1702.667,0.0,0.0,0.0,694.202,0.0,2347.033,527.804,1354.015,518.194,1467.665,2.589,0.0,8825.075,0.0,189.399,57290.1623032407,57290.1623032407,1.2985573353726068
