#Redshift Merger_Rate_Density[Gpc^-3yr^-1]
7.575757575757524620e-02 2.712940862854333890e+00
2.272727272727266268e-01 3.429663256786693815e+00
3.787878787878780074e-01 3.766858482792376339e+00
5.303030303030293879e-01 4.372386334474589908e+00
6.818181818181816567e-01 5.820751971866517493e+00
8.333333333333330373e-01 6.344203505398743559e+00
9.848484848484844179e-01 7.410060784014203428e+00
1.136363636363635798e+00 8.033846190135127685e+00
1.287878787878787179e+00 8.937268794397398963e+00
1.439393939393939448e+00 1.005627567317513815e+01
1.590909090909090828e+00 1.159729938860619036e+01
1.742424242424242209e+00 1.305947160948660368e+01
1.893939393939393590e+00 1.460035116843241987e+01
2.045454545454544970e+00 1.606881432413667810e+01
2.196969696969696351e+00 1.722249059256501624e+01
2.348484848484847731e+00 1.797908830767634214e+01
2.500000000000000000e+00 1.900315766230595926e+01
2.651515151515151381e+00 1.939767478517666177e+01
2.803030303030302761e+00 1.949369839256134895e+01
2.954545454545454142e+00 1.942682069313263682e+01
3.106060606060605522e+00 1.909714923129904918e+01
3.257575757575756903e+00 1.839391671753053359e+01
3.409090909090908283e+00 1.756757918084471370e+01
3.560606060606060552e+00 1.662290690684869432e+01
3.712121212121211933e+00 1.533889727227103705e+01
3.863636363636363313e+00 1.406402189308157169e+01
4.015151515151514694e+00 1.296851188591167237e+01
4.166666666666666075e+00 1.172651244207482257e+01
4.318181818181818343e+00 1.056433290790435642e+01
4.469696969696969724e+00 9.534579911473619163e+00
4.621212121212121104e+00 8.483856474001010284e+00
4.772727272727272485e+00 7.480056415476337150e+00
4.924242424242423866e+00 6.853290176531989353e+00
5.075757575757575246e+00 6.123401235941194010e+00
5.227272727272726627e+00 5.608939320841590082e+00
5.378787878787878896e+00 5.178948831565597821e+00
5.530303030303030276e+00 4.929381560979881449e+00
5.681818181818181657e+00 4.798381969139198233e+00
5.833333333333333037e+00 4.840532495045000161e+00
5.984848484848484418e+00 5.262494807250917894e+00
6.136363636363635798e+00 5.633664170539971927e+00
6.287878787878787179e+00 6.296081414818937461e+00
6.439393939393939448e+00 7.117021327343718617e+00
6.590909090909090828e+00 7.819449506580085973e+00
6.742424242424242209e+00 8.598040524096074222e+00
6.893939393939393590e+00 9.045951687086050796e+00
7.045454545454544970e+00 9.262516883202815521e+00
7.196969696969697239e+00 9.316837892244709707e+00
7.348484848484847731e+00 9.156349524107804783e+00
7.500000000000000000e+00 8.728105079260291888e+00
7.651515151515150492e+00 8.387117024003082122e+00
7.803030303030302761e+00 8.035218649864088292e+00
7.954545454545455030e+00 7.745735291348392337e+00
8.106060606060605522e+00 7.503316075565995114e+00
8.257575757575757791e+00 7.298652506804869766e+00
8.409090909090908283e+00 7.159709122314274587e+00
8.560606060606060552e+00 6.933889142041340214e+00
8.712121212121212821e+00 6.739749958927219176e+00
8.863636363636363313e+00 6.471108744034958171e+00
9.015151515151515582e+00 6.243624973521489707e+00
9.166666666666666075e+00 5.929560582004290481e+00
9.318181818181818343e+00 5.648118972979925267e+00
9.469696969696968836e+00 5.488906412370259780e+00
9.621212121212121104e+00 5.179491457918016017e+00
9.772727272727273373e+00 5.010655532654811672e+00
9.924242424242423866e+00 4.775194471811672337e+00
1.007575757575757613e+01 4.604128466144543630e+00
1.022727272727272663e+01 4.355462273232667769e+00
1.037878787878787890e+01 4.204624058008584520e+00
1.053030303030302939e+01 3.979512865115388376e+00
1.068181818181818166e+01 3.720109670153603165e+00
1.083333333333333393e+01 3.499011892782095234e+00
1.098484848484848442e+01 3.199688738770168239e+00
1.113636363636363669e+01 2.867979858159908524e+00
1.128787878787878718e+01 2.545739949193324136e+00
1.143939393939393945e+01 2.299481886155014809e+00
1.159090909090908994e+01 2.048153534266681230e+00
1.174242424242424221e+01 1.846601659917437521e+00
1.189393939393939448e+01 1.701614798171832366e+00
1.204545454545454497e+01 1.545752785791454142e+00
1.219696969696969724e+01 1.464686561067119364e+00
1.234848484848484773e+01 1.347533911255105243e+00
1.250000000000000000e+01 1.268136673107728596e+00
1.265151515151515227e+01 1.190916294212394977e+00
1.280303030303030276e+01 1.116147171692584594e+00
1.295454545454545503e+01 1.080366422312595720e+00
1.310606060606060552e+01 1.004327923291813418e+00
1.325757575757575779e+01 9.626844834255858796e-01
1.340909090909091006e+01 9.180679504172664096e-01
1.356060606060606055e+01 8.837709653790538633e-01
1.371212121212121104e+01 8.249212793268954069e-01
1.386363636363636331e+01 7.925005755583461875e-01
1.401515151515151558e+01 7.593094814013710003e-01
1.416666666666666607e+01 6.984374293188979621e-01
1.431818181818181834e+01 5.707473072971910311e-01
1.446969696969696884e+01 2.923789227962630966e-01
1.462121212121212110e+01 1.373741361162381797e-02
1.477272727272727337e+01 0.000000000000000000e+00
1.492424242424242387e+01 0.000000000000000000e+00
