#Redshift Merger_Rate_Density[Gpc^-3yr^-1]
7.575757575757524620e-02 2.173918909049148418e+00
2.272727272727266268e-01 2.494377336490429364e+00
3.787878787878780074e-01 2.943385261862913271e+00
5.303030303030293879e-01 3.439998222692256302e+00
6.818181818181816567e-01 3.862343067470757063e+00
8.333333333333330373e-01 4.490707083253894893e+00
9.848484848484844179e-01 5.613089142431709533e+00
1.136363636363635798e+00 7.057040484519107260e+00
1.287878787878787179e+00 8.284273128348772275e+00
1.439393939393939448e+00 9.955839917863391619e+00
1.590909090909090828e+00 1.091032338670289015e+01
1.742424242424242209e+00 1.204421606490028118e+01
1.893939393939393590e+00 1.356993952369502310e+01
2.045454545454544970e+00 1.432566395870740905e+01
2.196969696969696351e+00 1.507165156778500048e+01
2.348484848484847731e+00 1.614341199828865570e+01
2.500000000000000000e+00 1.725874647696547726e+01
2.651515151515151381e+00 1.770728179168553140e+01
2.803030303030302761e+00 1.749591809044418156e+01
2.954545454545454142e+00 1.730914699881873631e+01
3.106060606060605522e+00 1.693299455786291929e+01
3.257575757575756903e+00 1.665084459611975021e+01
3.409090909090908283e+00 1.580395419379032518e+01
3.560606060606060552e+00 1.514470970842338815e+01
3.712121212121211933e+00 1.410909890121634547e+01
3.863636363636363313e+00 1.302900292574057772e+01
4.015151515151514694e+00 1.204542886611822006e+01
4.166666666666666075e+00 1.091022105554984911e+01
4.318181818181818343e+00 9.986537679954246016e+00
4.469696969696969724e+00 8.832489756670112158e+00
4.621212121212121104e+00 8.026863047173378618e+00
4.772727272727272485e+00 7.091074771914211539e+00
4.924242424242423866e+00 6.479342318527015365e+00
5.075757575757575246e+00 5.645651589986314001e+00
5.227272727272726627e+00 5.356398935401577965e+00
5.378787878787878896e+00 4.791101125377507763e+00
5.530303030303030276e+00 4.264834736277785865e+00
5.681818181818181657e+00 3.932827384147199457e+00
5.833333333333333037e+00 3.598986813394694728e+00
5.984848484848484418e+00 3.316254120164193964e+00
6.136363636363635798e+00 3.049282065751438342e+00
6.287878787878787179e+00 2.785387704866317371e+00
6.439393939393939448e+00 2.568648967490449131e+00
6.590909090909090828e+00 2.469357352529426120e+00
6.742424242424242209e+00 2.458344125498586941e+00
6.893939393939393590e+00 2.473820149910511912e+00
7.045454545454544970e+00 2.376481190280474109e+00
7.196969696969697239e+00 2.413636639422118257e+00
7.348484848484847731e+00 2.535216028263421517e+00
7.500000000000000000e+00 2.499921554835361270e+00
7.651515151515150492e+00 2.616485505824812208e+00
7.803030303030302761e+00 2.646601931881037650e+00
7.954545454545455030e+00 2.718247939769922628e+00
8.106060606060605522e+00 2.735928080511167426e+00
8.257575757575757791e+00 2.676143309251035607e+00
8.409090909090908283e+00 2.718627092933213252e+00
8.560606060606060552e+00 2.694632421475556150e+00
8.712121212121212821e+00 2.615029995622836001e+00
8.863636363636363313e+00 2.695041515077552408e+00
9.015151515151515582e+00 2.651749853065189289e+00
9.166666666666666075e+00 2.603880003449940084e+00
9.318181818181818343e+00 2.655205145730650251e+00
9.469696969696968836e+00 2.660995679984777595e+00
9.621212121212121104e+00 2.721405504311698031e+00
9.772727272727273373e+00 2.771000069930861009e+00
9.924242424242423866e+00 2.832621262429472875e+00
1.007575757575757613e+01 2.878317533548448104e+00
1.022727272727272663e+01 2.808484942738764367e+00
1.037878787878787890e+01 2.866638047883409257e+00
1.053030303030302939e+01 2.750184890328923881e+00
1.068181818181818166e+01 2.640352553297857341e+00
1.083333333333333393e+01 2.500376456829189742e+00
1.098484848484848442e+01 2.405695974241143453e+00
1.113636363636363669e+01 2.356194337645571846e+00
1.128787878787878718e+01 2.308520068302967854e+00
1.143939393939393945e+01 2.239665909309601854e+00
1.159090909090908994e+01 2.223258929795007610e+00
1.174242424242424221e+01 2.150255424791717385e+00
1.189393939393939448e+01 2.042158670300885603e+00
1.204545454545454497e+01 1.998070141794659138e+00
1.219696969696969724e+01 1.876586162865118146e+00
1.234848484848484773e+01 1.804297645037841846e+00
1.250000000000000000e+01 1.695273512969435403e+00
1.265151515151515227e+01 1.684948081745872850e+00
1.280303030303030276e+01 1.603526878663881883e+00
1.295454545454545503e+01 1.520231858510248779e+00
1.310606060606060552e+01 1.477355047032145707e+00
1.325757575757575779e+01 1.416121342973461372e+00
1.340909090909091006e+01 1.347497126509790144e+00
1.356060606060606055e+01 1.224132983785776174e+00
1.371212121212121104e+01 1.130365670347349472e+00
1.386363636363636331e+01 1.056207153753659034e+00
1.401515151515151558e+01 9.399197542349495560e-01
1.416666666666666607e+01 8.056182058756773401e-01
1.431818181818181834e+01 4.686598776259472965e-01
1.446969696969696884e+01 1.597685007302783455e-01
1.462121212121212110e+01 6.868706955527518684e-03
1.477272727272727337e+01 0.000000000000000000e+00
1.492424242424242387e+01 0.000000000000000000e+00
