#Redshift Merger_Rate_Density[Gpc^-3yr^-1]
7.575757575757524620e-02 2.960600234981511036e+00
2.272727272727266268e-01 4.086616241969895924e+00
3.787878787878780074e-01 5.544295332368766260e+00
5.303030303030293879e-01 7.538052594893507319e+00
6.818181818181816567e-01 9.011860331161791748e+00
8.333333333333330373e-01 1.134354071251716256e+01
9.848484848484844179e-01 1.361082962735849122e+01
1.136363636363635798e+00 1.668571884222550139e+01
1.287878787878787179e+00 1.985420750593769412e+01
1.439393939393939448e+00 2.253166620774216966e+01
1.590909090909090828e+00 2.454105480005155826e+01
1.742424242424242209e+00 2.698606542868357749e+01
1.893939393939393590e+00 2.852218142901972797e+01
2.045454545454544970e+00 2.964764915908651943e+01
2.196969696969696351e+00 2.922699161190576689e+01
2.348484848484847731e+00 2.836689491671624452e+01
2.500000000000000000e+00 2.647839866647371565e+01
2.651515151515151381e+00 2.439510500030870688e+01
2.803030303030302761e+00 2.204448171539122825e+01
2.954545454545454142e+00 1.925314126393622161e+01
3.106060606060605522e+00 1.662691081211504951e+01
3.257575757575756903e+00 1.424747864275706100e+01
3.409090909090908283e+00 1.209353016238424416e+01
3.560606060606060552e+00 1.009819691778902140e+01
3.712121212121211933e+00 8.880570885966298178e+00
3.863636363636363313e+00 7.605544850799437206e+00
4.015151515151514694e+00 6.790314053146756734e+00
4.166666666666666075e+00 6.109403257916298458e+00
4.318181818181818343e+00 5.703316822156645038e+00
4.469696969696969724e+00 5.478318648194309581e+00
4.621212121212121104e+00 5.337653303359020995e+00
4.772727272727272485e+00 5.456769330677931684e+00
4.924242424242423866e+00 5.642173209683908119e+00
5.075757575757575246e+00 5.846913808553284575e+00
5.227272727272726627e+00 6.135003148639642134e+00
5.378787878787878896e+00 6.491293021778372641e+00
5.530303030303030276e+00 6.743289683640838916e+00
5.681818181818181657e+00 6.878352039993982814e+00
5.833333333333333037e+00 6.741570486632284975e+00
5.984848484848484418e+00 6.709015470768892264e+00
6.136363636363635798e+00 6.959664064475531653e+00
6.287878787878787179e+00 6.737004073400946424e+00
6.439393939393939448e+00 5.761848958108205743e+00
6.590909090909090828e+00 4.628242098718450492e+00
6.742424242424242209e+00 4.053331015545627913e+00
6.893939393939393590e+00 3.499894245571439022e+00
7.045454545454544970e+00 3.085788430581931863e+00
7.196969696969697239e+00 2.703434415004128955e+00
7.348484848484847731e+00 2.353883689064925289e+00
7.500000000000000000e+00 2.104927896560956135e+00
7.651515151515150492e+00 1.922386090636941214e+00
7.803030303030302761e+00 1.694529198921324920e+00
7.954545454545455030e+00 1.608504279362670930e+00
8.106060606060605522e+00 1.488356862549928383e+00
8.257575757575757791e+00 1.413563647958246960e+00
8.409090909090908283e+00 1.347444341692755287e+00
8.560606060606060552e+00 1.345784402755401121e+00
8.712121212121212821e+00 1.305945847110099756e+00
8.863636363636363313e+00 1.294005851274253605e+00
9.015151515151515582e+00 1.223206675000460431e+00
9.166666666666666075e+00 1.207247258330241824e+00
9.318181818181818343e+00 1.170907905200380794e+00
9.469696969696968836e+00 1.117547221833033788e+00
9.621212121212121104e+00 1.057626303066021345e+00
9.772727272727273373e+00 9.440792163397246917e-01
9.924242424242423866e+00 8.194742436067611324e-01
1.007575757575757613e+01 6.833501677368590821e-01
1.022727272727272663e+01 5.328163886301978680e-01
1.037878787878787890e+01 4.007005411911027104e-01
1.053030303030302939e+01 2.975448110028708348e-01
1.068181818181818166e+01 2.308265249408473774e-01
1.083333333333333393e+01 1.646823591709514201e-01
1.098484848484848442e+01 1.250543844146760064e-01
1.113636363636363669e+01 1.003095415293372566e-01
1.128787878787878718e+01 8.513805066328031246e-02
1.143939393939393945e+01 6.739673338366129751e-02
1.159090909090908994e+01 5.657509699912372653e-02
1.174242424242424221e+01 4.696278442829888294e-02
1.189393939393939448e+01 4.622963570613792400e-02
1.204545454545454497e+01 3.732124524166609281e-02
1.219696969696969724e+01 2.851279736598550177e-02
1.234848484848484773e+01 2.447792415254937404e-02
1.250000000000000000e+01 1.525915480754661512e-02
1.265151515151515227e+01 1.115086370353584114e-02
1.280303030303030276e+01 7.185263420353988489e-03
1.295454545454545503e+01 4.353932224196407560e-03
1.310606060606060552e+01 2.736733072252389709e-03
1.325757575757575779e+01 1.827747072283161670e-03
1.340909090909091006e+01 2.450240601052930314e-03
1.356060606060606055e+01 1.122619977396943592e-03
1.371212121212121104e+01 1.034185737413231571e-03
1.386363636363636331e+01 9.787224738418860964e-04
1.401515151515151558e+01 9.427803016851287517e-04
1.416666666666666607e+01 9.115101078682965761e-04
1.431818181818181834e+01 1.527421574897071611e-08
1.446969696969696884e+01 1.753318927897488543e-09
1.462121212121212110e+01 3.268199260117204327e-18
1.477272727272727337e+01 0.000000000000000000e+00
1.492424242424242387e+01 0.000000000000000000e+00
